video,prompt,audio_emb
d64fbbc1002bfb0ec5e2f03d690b95fc_cfr25.mp4,"A man with short dark hair and a friendly smile is seated in a cluttered office, wearing a navy blue hoodie over a burgundy shirt, engaged in a lively conversation with someone off-camera as he reacts with surprise and animation to an unexpected event. The office is cluttered with a coffee cup, a yellow thermos, and a black backpack, creating a casual yet busy atmosphere.",/mnt/dataset1/jinhyuk/Hallo3/cropped_only_10K_preprocessed/audio_emb_omniavatar_aligned/d64fbbc1002bfb0ec5e2f03d690b95fc.pt
3e81f6b71bc30cd87c85902cd9ef1b96_cfr25.mp4,a person is talking,/mnt/dataset1/jinhyuk/Hallo3/cropped_only_10K_preprocessed/audio_emb_omniavatar_aligned/3e81f6b71bc30cd87c85902cd9ef1b96.pt
67b67da8718b7d0f9293c1d474a59780_cfr25.mp4,"The video shows a young man in his twenties with light skin and short, dark hair, dressed in a dark jacket over a lighter-colored shirt, sitting in a dimly lit indoor setting with a soft glow from a window with horizontal blinds in the background. He appears relaxed and engaged, with a slightly open mouth and attentive expression, as if listening to someone off-camera.",/mnt/dataset1/jinhyuk/Hallo3/cropped_only_10K_preprocessed/audio_emb_omniavatar_aligned/67b67da8718b7d0f9293c1d474a59780.pt
4a623218753876e25e97b7b49b339ac7_cfr25.mp4,"The video shows two men, one with dark hair and a receding-haired counterpart, seated in a dimly lit car, engaged in a serious conversation while dressed in dark suits, set against the backdrop of a graffiti-covered urban wall visible through the car window.",/mnt/dataset1/jinhyuk/Hallo3/cropped_only_10K_preprocessed/audio_emb_omniavatar_aligned/4a623218753876e25e97b7b49b339ac7.pt
fbf0b7abe6a5c7aac3d25e5f93ce12c8_cfr25.mp4,"The video shows a single person, a blonde woman with curly hair and a red and white checkered outfit, speaking into a microphone in a formal setting, likely a television studio, with a stylized ""CBS"" backdrop. The woman's professional attire, complete with a red bow at the collar, adds to the sense of formality.",/mnt/dataset1/jinhyuk/Hallo3/cropped_only_10K_preprocessed/audio_emb_omniavatar_aligned/fbf0b7abe6a5c7aac3d25e5f93ce12c8.pt
77101e904a02bc2c69c775c6df6d1ad8_cfr25.mp4,a person is talking,/mnt/dataset1/jinhyuk/Hallo3/cropped_only_10K_preprocessed/audio_emb_omniavatar_aligned/77101e904a02bc2c69c775c6df6d1ad8.pt
67db16e66f007e0a65513a76b17dcd99_cfr25.mp4,"The video shows a single male driver, with curly dark hair and a beard, wearing a black shirt and black gloves, navigating through a blurred landscape at dawn or dusk, his hands firmly on the steering wheel as he focuses on the road. The soft lighting and lack of other characters create a serene atmosphere, with the only movement coming from the blurred scenery outside the car window.",/mnt/dataset1/jinhyuk/Hallo3/cropped_only_10K_preprocessed/audio_emb_omniavatar_aligned/67db16e66f007e0a65513a76b17dcd99.pt
051a259f1de13cc1e123e1d8e7abc212_cfr25.mp4,"The video shows a single person, a woman with dark hair pulled back and wearing glasses and earrings, engaged in a focused conversation with a subtle, open-mouthed expression. She is situated in a warm, softly lit indoor setting, likely a close-up shot from a film or television scene.",/mnt/dataset1/jinhyuk/Hallo3/cropped_only_10K_preprocessed/audio_emb_omniavatar_aligned/051a259f1de13cc1e123e1d8e7abc212.pt
96955ba246101c8a65a4130ae540a516_cfr25.mp4,"A woman with long, dark hair and bangs, dressed in a purple blouse, is seated in a calm office setting, engaged in a serious conversation or interview, using a small black object, likely a pen or smartphone, while making professional hand gestures. The office is characterized by soft lighting, shelves with binders and files, and a neutral atmosphere.",/mnt/dataset1/jinhyuk/Hallo3/cropped_only_10K_preprocessed/audio_emb_omniavatar_aligned/96955ba246101c8a65a4130ae540a516.pt
e385c5be8fe33131db28e0ac46a1ec6c_cfr25.mp4,"The video features a single middle-aged male, dressed in a formal suit and tie, standing upright with an open mouth and direct gaze, as if presenting or speaking. He is set against a calm, solid blue background, with no distracting movements or changes, allowing his professional demeanor to take center stage.",/mnt/dataset1/jinhyuk/Hallo3/cropped_only_10K_preprocessed/audio_emb_omniavatar_aligned/e385c5be8fe33131db28e0ac46a1ec6c.pt
a7746b54e801ba4e420b7872af324e4a_cfr25.mp4,a person is talking,/mnt/dataset1/jinhyuk/Hallo3/cropped_only_10K_preprocessed/audio_emb_omniavatar_aligned/a7746b54e801ba4e420b7872af324e4a.pt
4125f30d6ee7077344330e40c075325a_cfr25.mp4,a person is talking,/mnt/dataset1/jinhyuk/Hallo3/cropped_only_10K_preprocessed/audio_emb_omniavatar_aligned/4125f30d6ee7077344330e40c075325a.pt
65a3e757fee547f8e694596c9712633f_cfr25.mp4,"A woman with shoulder-length brown hair and a pink t-shirt is seen in a series of static indoor settings, displaying concern or mild anxiety on her face. She is alone in each scene, with the 'Hibili' watermark visible, and her expressions and the unchanging indoor environment are the primary focus of the video.",/mnt/dataset1/jinhyuk/Hallo3/cropped_only_10K_preprocessed/audio_emb_omniavatar_aligned/65a3e757fee547f8e694596c9712633f.pt
13a6baebe59689f448d3b01c960da99d_cfr25.mp4,a person is talking,/mnt/dataset1/jinhyuk/Hallo3/cropped_only_10K_preprocessed/audio_emb_omniavatar_aligned/13a6baebe59689f448d3b01c960da99d.pt
9e4228a31215a9c2b3c5dd7f075482f9_cfr25.mp4,"In the video, a single individual is seated at a bar, engaging in a leisurely activity as they peel a banana while holding a cup, wearing a colorful shirt and a dark cap, and listening to music or a podcast with headphones around their neck. The scene is set in a relaxed, social environment with a tiled wall and various bar items, such as bottles and a coffee machine, in the background.",/mnt/dataset1/jinhyuk/Hallo3/cropped_only_10K_preprocessed/audio_emb_omniavatar_aligned/9e4228a31215a9c2b3c5dd7f075482f9.pt
256394ea5a5b57e1f7ba74becd125a45_cfr25.mp4,"The video shows a single elderly man with a white beard and hair, dressed in a light-colored shirt and dark suspenders, standing in a rustic outdoor setting with wooden structures, engaging in a subtle conversation or explanation with slight hand gestures. The calm atmosphere and soft lighting, possibly from late afternoon or early evening, create a serene ambiance as he stands amidst the natural surroundings.",/mnt/dataset1/jinhyuk/Hallo3/cropped_only_10K_preprocessed/audio_emb_omniavatar_aligned/256394ea5a5b57e1f7ba74becd125a45.pt
0174938dd277b09b8dbda1d1ee456f85_cfr25.mp4,a person is talking,/mnt/dataset1/jinhyuk/Hallo3/cropped_only_10K_preprocessed/audio_emb_omniavatar_aligned/0174938dd277b09b8dbda1d1ee456f85.pt
96aac737eade5fe1d958530547379684_cfr25.mp4,"The video shows a middle-aged individual, dressed in a dark suit, white shirt, and purple tie, seated in a dark leather armchair with a serious expression, engaged in a conversation or listening intently. The dimly lit indoor setting, possibly an office or formal room, highlights the person's face and the texture of the chair, with the background remaining out of focus.",/mnt/dataset1/jinhyuk/Hallo3/cropped_only_10K_preprocessed/audio_emb_omniavatar_aligned/96aac737eade5fe1d958530547379684.pt
ca391e8177c8e497207ee49234341297_cfr25.mp4,a person is talking,/mnt/dataset1/jinhyuk/Hallo3/cropped_only_10K_preprocessed/audio_emb_omniavatar_aligned/ca391e8177c8e497207ee49234341297.pt
fa452d010c7575e3ef17547590dd200e_cfr25.mp4,a person is talking,/mnt/dataset1/jinhyuk/Hallo3/cropped_only_10K_preprocessed/audio_emb_omniavatar_aligned/fa452d010c7575e3ef17547590dd200e.pt
3f2ad5b7a4b976d6c06e62531848a55c_cfr25.mp4,a person is talking,/mnt/dataset1/jinhyuk/Hallo3/cropped_only_10K_preprocessed/audio_emb_omniavatar_aligned/3f2ad5b7a4b976d6c06e62531848a55c.pt
1d6f8a7a50e6c5f20975ba28a9cbc32b_cfr25.mp4,"The video shows a single woman, with short, dark hair and fair skin, seated in a warmly lit living room, wearing a dark jacket and a black top with a necklace, as she engages in a conversation or interview with slight changes in her posture and facial expressions. The cozy atmosphere is set against a backdrop of a lamp, a shelf with various items, and a relaxed ambiance.",/mnt/dataset1/jinhyuk/Hallo3/cropped_only_10K_preprocessed/audio_emb_omniavatar_aligned/1d6f8a7a50e6c5f20975ba28a9cbc32b.pt
43455c21a3d47a52f624db38e351d391_cfr25.mp4,"The video shows a single elderly woman, dressed in a white lace dress with ruffled shoulders and a large, patterned hat, engaging in a conversation or reacting to something with varying expressions in a dimly lit, possibly 19th-century-style room with wooden paneling.",/mnt/dataset1/jinhyuk/Hallo3/cropped_only_10K_preprocessed/audio_emb_omniavatar_aligned/43455c21a3d47a52f624db38e351d391.pt
c3a4c77f7f2e455c40da44652a490fa7_cfr25.mp4,"The video shows a single man, in his forties with a mustache, standing on a dirt road in a rural or desert setting, wearing a beige fedora hat, camouflage-patterned shirt, and a cross pendant necklace, as he engages in a phone conversation with a relaxed posture. The mountainous landscape stretches out behind him, illuminated by the bright daylight.",/mnt/dataset1/jinhyuk/Hallo3/cropped_only_10K_preprocessed/audio_emb_omniavatar_aligned/c3a4c77f7f2e455c40da44652a490fa7.pt
8456f623cc33ff7d864dbe68cd34a259_cfr25.mp4,"A middle-aged woman with long brown hair and bangs, dressed in a professional black blazer and white shirt, engages in a serious conversation with a blurred figure in a professional office setting, surrounded by a desk, lamp, and wall decorations. The woman's serious and attentive demeanor is evident in her expression and posture as she converses with the unseen individual.",/mnt/dataset1/jinhyuk/Hallo3/cropped_only_10K_preprocessed/audio_emb_omniavatar_aligned/8456f623cc33ff7d864dbe68cd34a259.pt
748c99395c4be058605ae8403770b3ae_cfr25.mp4,"The video shows a single male character, a man in his forties with short, light brown hair and fair skin, engaging in a formal conversation while seated in a professional setting. He is dressed in a dark suit, striped shirt, and dark tie, and is surrounded by a patterned wallpaper and wooden paneling, making deliberate hand gestures to emphasize his points.",/mnt/dataset1/jinhyuk/Hallo3/cropped_only_10K_preprocessed/audio_emb_omniavatar_aligned/748c99395c4be058605ae8403770b3ae.pt
6f475b46e2c29888002a9919be1e9d0f_cfr25.mp4,"The video shows a single person, a hospital patient, lying in a bed, wearing a light-colored hospital gown and connected to medical equipment, engaged in a phone conversation while receiving oxygen and IV treatment in a plain, dark-colored hospital room. The patient's focus is on the phone in their right hand, with the surrounding medical equipment and hospital setting dominating the scene.",/mnt/dataset1/jinhyuk/Hallo3/cropped_only_10K_preprocessed/audio_emb_omniavatar_aligned/6f475b46e2c29888002a9919be1e9d0f.pt
e499e8b8dbdde88356218881dac8d4e9_cfr25.mp4,"The video shows a single male figure, dressed in a white suit and black bow tie, engaging in a performance with slight head tilts and hand gestures as he holds a microphone close to his mouth. The dimly lit, warm-toned setting with hints of foliage suggests a formal and intimate indoor stage or performance space.",/mnt/dataset1/jinhyuk/Hallo3/cropped_only_10K_preprocessed/audio_emb_omniavatar_aligned/e499e8b8dbdde88356218881dac8d4e9.pt
0a3bd263bf790d3ccdb0d59c405f6e99_cfr25.mp4,"The video shows two individuals, one with a bald head and a futuristic, armored purple suit with glowing elements, and the other with blonde hair, in a dimly lit indoor environment with industrial or technological hints, possibly a spaceship or high-tech facility. The two characters stand close together, engaged in a moment of quiet communication, their movements minimal as they focus on each other.",/mnt/dataset1/jinhyuk/Hallo3/cropped_only_10K_preprocessed/audio_emb_omniavatar_aligned/0a3bd263bf790d3ccdb0d59c405f6e99.pt
8bd79b96ac2c2d7f72bad84d8530a59a_cfr25.mp4,a person is talking,/mnt/dataset1/jinhyuk/Hallo3/cropped_only_10K_preprocessed/audio_emb_omniavatar_aligned/8bd79b96ac2c2d7f72bad84d8530a59a.pt
0a1d6352e24b311d7547b06a91d6d95a_cfr25.mp4,"The video shows a single male character, dressed in a dark suit, white shirt, and dark tie, standing in a dimly lit indoor setting with patterned wallpaper and a lamp, engaging in a serious conversation with an unseen person, his upright posture and hand gestures conveying attentiveness.",/mnt/dataset1/jinhyuk/Hallo3/cropped_only_10K_preprocessed/audio_emb_omniavatar_aligned/0a1d6352e24b311d7547b06a91d6d95a.pt
d06ad314ab0c12c4cbe0733aad42acaf_cfr25.mp4,a person is talking,/mnt/dataset1/jinhyuk/Hallo3/cropped_only_10K_preprocessed/audio_emb_omniavatar_aligned/d06ad314ab0c12c4cbe0733aad42acaf.pt
a3e191b6cfbf63690736873951b1e4cc_cfr25.mp4,a person is talking,/mnt/dataset1/jinhyuk/Hallo3/cropped_only_10K_preprocessed/audio_emb_omniavatar_aligned/a3e191b6cfbf63690736873951b1e4cc.pt
f12a502f5082be7461e416a8c27a7a12_cfr25.mp4,a person is talking,/mnt/dataset1/jinhyuk/Hallo3/cropped_only_10K_preprocessed/audio_emb_omniavatar_aligned/f12a502f5082be7461e416a8c27a7a12.pt
d042ce9d439d1b446427fd32541bbacf_cfr25.mp4,a person is talking,/mnt/dataset1/jinhyuk/Hallo3/cropped_only_10K_preprocessed/audio_emb_omniavatar_aligned/d042ce9d439d1b446427fd32541bbacf.pt
b06718c2e85d2c88c9826890539f08f3_cfr25.mp4,"The video shows a middle-aged man, dressed in a dark suit and light blue shirt, standing calmly in an office setting with a cityscape view through large windows in the background. He appears to be waiting or observing, his upright posture and stillness contrasting with the vibrant urban scene outside.",/mnt/dataset1/jinhyuk/Hallo3/cropped_only_10K_preprocessed/audio_emb_omniavatar_aligned/b06718c2e85d2c88c9826890539f08f3.pt
ce22932a70b1d0525cf655100aa70fb7_cfr25.mp4,"A middle-aged woman with graying hair and a warm smile is seated in front of a serene landscape painting, wearing a pink top under a beige cardigan and a turquoise necklace, as she engages in an animated conversation with the camera, her expressive hand gestures conveying her enthusiasm. The peaceful atmosphere is maintained by the calm background and her introspective demeanor.",/mnt/dataset1/jinhyuk/Hallo3/cropped_only_10K_preprocessed/audio_emb_omniavatar_aligned/ce22932a70b1d0525cf655100aa70fb7.pt
c0fad6eb5f90b6b881950a57e89022da_cfr25.mp4,"The video shows a woman in her thirties with long, wavy blonde hair and fair skin tone, wearing a black sleeveless top, engaged in a conversation or interview in a dimly lit indoor setting with a door and notice board visible in the background. She stands upright with a focused expression, looking slightly to her right.",/mnt/dataset1/jinhyuk/Hallo3/cropped_only_10K_preprocessed/audio_emb_omniavatar_aligned/c0fad6eb5f90b6b881950a57e89022da.pt
77fefbebfd0a5fa46805f54dcb54c08f_cfr25.mp4,"The video shows a woman in her forties or fifties, with blonde hair styled in loose waves and a fair skin tone, seated in a calm and professional indoor setting with a neutral color palette. She is wearing a black outfit and a white pearl necklace, engaged in a conversation with an unseen person, her posture and head tilt suggesting a focused discussion.",/mnt/dataset1/jinhyuk/Hallo3/cropped_only_10K_preprocessed/audio_emb_omniavatar_aligned/77fefbebfd0a5fa46805f54dcb54c08f.pt
a77ec2c29743d40241f629ae84b852f4_cfr25.mp4,"The video shows a single male figure, a man in his forties with short, dark hair and fair skin, dressed in a formal checkered suit and bow tie, standing in a dimly lit indoor space with a blurred background of vertical lines, as he stands in contemplation with a serious expression.",/mnt/dataset1/jinhyuk/Hallo3/cropped_only_10K_preprocessed/audio_emb_omniavatar_aligned/a77ec2c29743d40241f629ae84b852f4.pt
c80d6cf401ba82e7f98c75cc4fc4fc01_cfr25.mp4,a person is talking,/mnt/dataset1/jinhyuk/Hallo3/cropped_only_10K_preprocessed/audio_emb_omniavatar_aligned/c80d6cf401ba82e7f98c75cc4fc4fc01.pt
f2d702b659eb5c63075b05a629a4ca59_cfr25.mp4,a person is talking,/mnt/dataset1/jinhyuk/Hallo3/cropped_only_10K_preprocessed/audio_emb_omniavatar_aligned/f2d702b659eb5c63075b05a629a4ca59.pt
22ed1e58906ec4090289d6f427fce228_cfr25.mp4,"A woman with shoulder-length brown hair and fair skin sits contemplatively on a grey couch, wearing a light pink silk pajama shirt with dark piping, as a man's arm rests behind her in a dimly lit room, exuding an intimate atmosphere. The woman's introspective expression is accompanied by the gentle presence of the man, suggesting a close relationship.",/mnt/dataset1/jinhyuk/Hallo3/cropped_only_10K_preprocessed/audio_emb_omniavatar_aligned/22ed1e58906ec4090289d6f427fce228.pt
5651805215512f4fd89e4fbfe83e7341_cfr25.mp4,a person is talking,/mnt/dataset1/jinhyuk/Hallo3/cropped_only_10K_preprocessed/audio_emb_omniavatar_aligned/5651805215512f4fd89e4fbfe83e7341.pt
77e6ee1662b2aaca912607620611260b_cfr25.mp4,a person is talking,/mnt/dataset1/jinhyuk/Hallo3/cropped_only_10K_preprocessed/audio_emb_omniavatar_aligned/77e6ee1662b2aaca912607620611260b.pt
d90a42011b72703244bafb7f2d2d3e39_cfr25.mp4,a person is talking,/mnt/dataset1/jinhyuk/Hallo3/cropped_only_10K_preprocessed/audio_emb_omniavatar_aligned/d90a42011b72703244bafb7f2d2d3e39.pt
f9c3ec8e6dd2ec885dcdacffe7b1f66d_cfr25.mp4,a person is talking,/mnt/dataset1/jinhyuk/Hallo3/cropped_only_10K_preprocessed/audio_emb_omniavatar_aligned/f9c3ec8e6dd2ec885dcdacffe7b1f66d.pt
8bf713134c0194a2dd90d4d1dec39d76_cfr25.mp4,"The video shows a single older adult, likely in his sixties, seated in a dimly lit public transportation vehicle, slouched and holding a clear plastic bottle, dressed in a worn plaid shirt with a rugged appearance and unkempt hair. The surroundings, featuring a wooden-paneled wall and a partially visible sign, contribute to a somber atmosphere, suggesting a scene of quiet contemplation.",/mnt/dataset1/jinhyuk/Hallo3/cropped_only_10K_preprocessed/audio_emb_omniavatar_aligned/8bf713134c0194a2dd90d4d1dec39d76.pt
0c6ef48f0db7f1b40766142cfea36dea_cfr25.mp4,a person is talking,/mnt/dataset1/jinhyuk/Hallo3/cropped_only_10K_preprocessed/audio_emb_omniavatar_aligned/0c6ef48f0db7f1b40766142cfea36dea.pt
3f0290a4e5163c9771ea7207b72b62c3_cfr25.mp4,"The video shows a middle-aged man, likely in his forties or fifties, with gray hair and fair skin, seated in a formal setting, dressed in a dark suit, white shirt, and dark tie, engaged in a conversation or interview in a traditional, indoor room with a window partially covered by sheer curtains.",/mnt/dataset1/jinhyuk/Hallo3/cropped_only_10K_preprocessed/audio_emb_omniavatar_aligned/3f0290a4e5163c9771ea7207b72b62c3.pt
1a4e0e928c70434690d20278003907cc_cfr25.mp4,"A woman with shoulder-length brown hair and blue eyes stands alone in front of a vibrant red patterned wallpaper, wearing a black shirt and displaying a concerned expression. The static scene remains consistent throughout the video, with the woman's facial expression and the background remaining unchanged.",/mnt/dataset1/jinhyuk/Hallo3/cropped_only_10K_preprocessed/audio_emb_omniavatar_aligned/1a4e0e928c70434690d20278003907cc.pt
2ddf935620eed6030962ed600785502f_cfr25.mp4,"The video features a single woman, dressed in a vintage-style outfit, posing in a warmly lit, indoor setting with wooden furniture, exuding refined elegance and calm. She is seen in various leisurely poses, such as sitting and holding a cup, wearing a teal coat, white blouse, and elegant hat, with her fair skin and classic updo adding to her sophisticated appearance.",/mnt/dataset1/jinhyuk/Hallo3/cropped_only_10K_preprocessed/audio_emb_omniavatar_aligned/2ddf935620eed6030962ed600785502f.pt
aa0b947e3d2a093cf17e7e1ad6656643_cfr25.mp4,a person is talking,/mnt/dataset1/jinhyuk/Hallo3/cropped_only_10K_preprocessed/audio_emb_omniavatar_aligned/aa0b947e3d2a093cf17e7e1ad6656643.pt
b410eac33806465c67d7f9727bdd8f32_cfr25.mp4,a person is talking,/mnt/dataset1/jinhyuk/Hallo3/cropped_only_10K_preprocessed/audio_emb_omniavatar_aligned/b410eac33806465c67d7f9727bdd8f32.pt
7c2f85781a35df10159275c8832ef56f_cfr25.mp4,"The video shows a single person, a woman with long blonde hair, wearing a blue turtleneck and a dark, textured jacket, standing in a contemplative state with furrowed brows and an open mouth, as if mid-conversation. She is positioned in a dimly lit, indoor setting with a bright, colorful light source in the background, such as a screen or window with blinds, creating a calm yet tense atmosphere.",/mnt/dataset1/jinhyuk/Hallo3/cropped_only_10K_preprocessed/audio_emb_omniavatar_aligned/7c2f85781a35df10159275c8832ef56f.pt
ac7a1d38bdc1a773fe929f60976b7146_cfr25.mp4,"The video shows a middle-aged man with gray hair and a beard, dressed in a brown jacket over a white shirt, sitting upright in a dimly lit interior space with an indistinct background, exuding a somber and contemplative atmosphere.",/mnt/dataset1/jinhyuk/Hallo3/cropped_only_10K_preprocessed/audio_emb_omniavatar_aligned/ac7a1d38bdc1a773fe929f60976b7146.pt
bff3358403c28b3c8846ab3844e25dcf_cfr25.mp4,a person is talking,/mnt/dataset1/jinhyuk/Hallo3/cropped_only_10K_preprocessed/audio_emb_omniavatar_aligned/bff3358403c28b3c8846ab3844e25dcf.pt
